,solar,P_solar_max,P_solar_min,P_load,load_min,load_max,SOC_min,SOC_max,P_batt_max,P_batt_min,battery_eta,import_price,export_price,raise_price,lower_price,nu,P_solar,P_meter,P_batt,SOC,Online,import_DOE,export_DOE,upper_IOE,lower_IOE,Upper_DOE_Breach,Lower_DOE_Breach,settled_revenue,aggregator,R_bid,L_bid
107,-1.227111111084444,0,-7,0.2086830021005991,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.32,0.08,0.01041,0.00147,0.05,,,,,,,,,,,,,1,,
108,-0.9634909038130908,0,-7,0.17805600557580062,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.0149,0.00156,0.05,,,,,,,,,,,,,1,,
109,-1.334666673348888,0,-7,0.1810379968778997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.01773,0.00147,0.05,,,,,,,,,,,,,1,,
110,-1.342036360821816,0,-7,0.18012900066959972,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.025,0.0016,0.05,,,,,,,,,,,,,1,,
111,-0.7946666690955552,0,-7,0.1759590060092991,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.01541,0.00154,0.05,,,,,,,,,,,,,1,,
112,-1.026981815430546,0,-7,0.26927399985270034,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.02,0.00181,0.05,,,,,,,,,,,,,1,,
113,-1.4551111115333402,0,-7,0.26254799215619945,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.01483,0.00181,0.05,,,,,,,,,,,,,1,,
114,-2.58130911827346,0,-7,0.26559599608740064,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.01305,0.00139,0.05,,,,,,,,,,,,,1,,
115,-5.230222225186668,0,-7,0.2594819931770997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.0146,0.00092,0.05,,,,,,,,,,,,,1,,
116,-5.3042181847330925,0,-7,0.2964269945531997,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.0249,0.00159,0.05,,,,,,,,,,,,,1,,
117,-4.194888869915556,0,-7,0.33326099322689967,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.02036,0.00173,0.05,,,,,,,,,,,,,1,,
118,-5.270181765122184,0,-7,0.27450299311290005,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.0203,0.00159,0.05,,,,,,,,,,,,,1,,
119,-5.668186063540464,0,-7,0.2183309948592,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.01535,0.00159,0.05,,,,,,,,,,,,,1,,
120,-5.708603851761503,0,-7,0.2628540013838994,0.0,43.5,1.32,13.2,5.0,-5.0,0.9,0.22,0.08,0.0154,0.00092,0.05,,,,,,,,,,,,,1,,
